cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.56355290429036,-33.53776320132016,11.0,1.0,0.0,0.0,17.06897689768978,6147.23102310231,114303
114303_1,-70.57526917525773,-33.528536494845326,31.0,6.0,0.0,0.0,12.548324742268052,4289.012886597938,114303
114303_2,-70.58980181818183,-33.526019999999995,18.0,3.0,0.0,0.0,9.818181818181817,2978.909090909091,114303
114303_3,-70.60464924369748,-33.52191294117647,12.0,2.0,0.0,0.0,5.010644257703081,1489.1176470588234,114303
114831_0,-70.57977844444446,-33.51838166666668,13.0,2.0,0.0,0.0,7.592777777777777,2732.311111111111,114831
114831_1,-70.5984302631579,-33.513882631578944,3.0,0.0,0.0,0.0,6.078728070175438,2162.592105263158,114831
114831_2,-70.58783545454544,-33.5184840909091,70.0,12.0,0.0,0.0,5.616666666666667,1950.590909090909,114831
114831_3,-70.58876616279066,-33.51811837209304,8.0,1.0,0.0,0.0,4.288953488372095,1581.4418604651162,114831
114802_0,-70.55204663461542,-33.51779846153846,35.0,7.0,0.0,0.0,8.528205128205128,3319.8653846153848,114802
114802_1,-70.5422818181818,-33.533779090909086,2.0,0.0,0.0,0.0,14.30606060606061,6453.909090909091,114802
114802_2,-70.55899833333335,-33.51690333333334,53.0,10.0,0.0,0.0,6.161111111111111,2287.0,114802
114802_3,-70.57221752577317,-33.514889278350516,17.0,3.0,0.0,0.0,3.685137457044672,1230.3505154639174,114802
114824_0,-70.5786579562044,-33.54497927007301,4.0,0.0,0.0,0.0,5.271289537712897,1843.5036496350365,114824
114824_1,-70.59656975409838,-33.55509737704919,24.0,5.0,0.0,0.0,6.904371584699452,2653.72131147541,114824
114824_2,-70.5967130246914,-33.544752901234546,21.0,3.0,0.0,0.0,2.947942386831276,955.283950617284,114824
114824_3,-70.60115999999996,-33.5401,10.0,2.0,0.0,0.0,4.233333333333333,1255.0,114824
200144_0,-70.56875280000001,-33.55489000000001,9.0,2.0,0.0,0.0,5.756166666666665,1717.74,200144
200144_1,-70.58113931034481,-33.55222068965517,1.0,0.0,0.0,0.0,4.07787356321839,1085.2413793103449,200144
200144_2,-70.58239093023256,-33.55691255813954,3.0,0.0,0.0,0.0,2.3441860465116275,531.8372093023256,200144
200144_3,-70.57453333333335,-33.55505333333334,7.0,1.0,0.0,0.0,3.783333333333333,994.0,200144
114816_0,-70.56507034482757,-33.559161379310346,2.0,0.0,0.0,0.0,4.949999999999999,1713.0344827586207,114816
114816_1,-70.588535,-33.56723692307692,2.0,0.0,0.0,0.0,5.496153846153846,1832.576923076923,114816
114816_2,-70.57747220000002,-33.5614014,5.0,1.0,0.0,0.0,2.614666666666667,769.72,114816
114816_3,-70.59310523809523,-33.56190595238094,7.0,1.0,0.0,0.0,5.676190476190476,2082.8571428571427,114816
114816_4,-70.56408000000002,-33.559396666666665,5.0,1.0,0.0,0.0,5.316666666666666,1725.6666666666667,114816
114805_0,-70.6067974489796,-33.55585489795917,39.0,7.0,0.0,0.0,3.0639455782312943,846.3163265306123,114805
114805_1,-70.59521357142859,-33.56624952380953,5.0,1.0,0.0,0.0,5.128968253968255,1607.095238095238,114805
114805_2,-70.60577663461537,-33.560286057692316,26.0,4.0,0.0,0.0,1.833974358974359,444.61538461538464,114805
114805_3,-70.6039,-33.559918571428575,27.0,5.0,0.0,0.0,2.885714285714286,630.0,114805
114805_4,-70.61039425925925,-33.56534407407406,5.0,1.0,0.0,0.0,4.09506172839506,1171.6666666666667,114805
200051_0,-70.60651146341463,-33.54853402439025,11.0,2.0,0.0,0.0,2.0810975609756106,595.2073170731708,200051
200051_1,-70.60427000000001,-33.538450000000005,7.0,1.0,0.0,0.0,4.416666666666667,1345.0,200051
200051_2,-70.61053962962963,-33.55201333333332,10.0,2.0,0.0,0.0,3.4,1012.0925925925926,200051
200051_3,-70.60692085106382,-33.53943659574468,4.0,1.0,0.0,0.0,3.4613475177304975,1027.659574468085,200051
114825_0,-70.62604827160497,-33.55371530864196,4.0,1.0,0.0,0.0,2.075308641975309,604.1851851851852,114825
114825_1,-70.61799144444448,-33.54878900000001,8.0,2.0,0.0,0.0,4.633333333333334,1533.7,114825
114825_2,-70.62603,-33.556374999999996,10.0,2.0,0.0,0.0,2.979166666666667,929.0,114825
114825_3,-70.62746709677418,-33.5487170967742,9.0,1.0,0.0,0.0,2.4193548387096766,690.8870967741935,114825
114825_4,-70.61663906976744,-33.553840697674424,26.0,5.0,0.0,0.0,4.943217054263564,1652.5,114825
114817_0,-70.61966000000001,-33.55990125,56.0,10.0,0.0,0.0,2.6333333333333333,797.625,114817
114817_1,-70.62042833333334,-33.56388111111111,10.0,2.0,0.0,0.0,4.671296296296295,1471.5555555555557,114817
114817_2,-70.61468782608696,-33.55828434782608,10.0,2.0,0.0,0.0,2.3894927536231885,530.2608695652174,114817
114817_3,-70.61434660377358,-33.56141905660378,13.0,2.0,0.0,0.0,3.119496855345912,878.6603773584906,114817
114817_4,-70.62378955223882,-33.56073388059701,15.0,3.0,0.0,0.0,3.7604477611940292,1158.402985074627,114817
114804_0,-70.60047153061224,-33.53253724489798,7.0,1.0,0.0,0.0,2.2476190476190467,613.9489795918367,114804
114804_1,-70.60697519230769,-33.53323173076924,4.0,1.0,0.0,0.0,3.1801282051282054,1009.6923076923077,114804
114804_2,-70.5995334375,-33.5284390625,0.0,0.0,0.0,0.0,4.154166666666667,1183.96875,114804
114804_3,-70.603196,-33.52986400000001,5.0,1.0,0.0,0.0,3.493333333333333,1089.0,114804
114804_4,-70.59793205128204,-33.53765897435897,5.0,1.0,0.0,0.0,4.118376068376068,1254.5897435897436,114804
114315_0,-70.63159999999999,-33.53115777777778,2.0,0.0,0.0,0.0,2.8481481481481477,1267.3333333333333,114315
114315_1,-70.6186625,-33.5267145,1.0,0.0,0.0,0.0,1.2258333333333333,460.85,114315
114315_2,-70.62490124999998,-33.530120625,1.0,0.0,0.0,0.0,2.0520833333333335,759.75,114315
114315_3,-70.61216285714286,-33.52828928571429,0.0,0.0,0.0,0.0,2.738095238095238,1066.642857142857,114315
114806_0,-70.6169052727273,-33.54401663636363,4.0,1.0,0.0,0.0,5.865454545454542,2304.2818181818184,114806
114806_1,-70.627997625,-33.5382086875,8.0,2.0,0.0,0.0,2.705625000000003,880.0125,114806
114806_2,-70.6161615,-33.53543140000001,1.0,0.0,0.0,0.0,5.187999999999999,1972.54,114806
114806_3,-70.62226444444444,-33.53870666666667,5.0,1.0,0.0,0.0,4.7666666666666675,1609.7777777777778,114806
114807_0,-70.63684584615382,-33.549074,20.0,4.0,0.0,0.0,4.587948717948717,1511.6461538461538,114807
114807_1,-70.64828960000001,-33.54479619999999,68.0,13.0,0.0,0.0,1.7749999999999995,554.4,114807
114807_2,-70.63372666666667,-33.55026,28.0,5.0,0.0,0.0,5.533333333333334,1922.0,114807
114807_3,-70.64638902439027,-33.548166097560966,39.0,8.0,0.0,0.0,2.7605691056910566,782.2926829268292,114807
114807_4,-70.639768,-33.545539500000004,44.0,8.0,0.0,0.0,3.7550000000000003,1207.5,114807
114811_0,-70.61786829166665,-33.59209016666667,8.0,1.0,0.0,0.0,3.1781250000000005,1017.8708333333333,114811
