cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.58559040000002,-33.5309718,284.0,53.0,1.0,1.0,11.018000000000002,3602.84,114303
114303_1,-70.57456030812325,-33.52823411764704,421.0,80.0,1.0,1.0,12.639869281045767,4330.470588235294,114303
114303_2,-70.56329130872477,-33.53776600671144,243.0,43.0,0.0,0.0,17.11689038031321,6170.302013422819,114303
114303_3,-70.60468698275861,-33.52177439655173,84.0,15.0,0.0,0.0,5.006465517241377,1481.4741379310344,114303
114831_0,-70.59832524999999,-33.51390974999999,117.0,22.0,1.0,1.0,6.125208333333333,2162.4,114831
114831_1,-70.58041764705882,-33.518717745098044,186.0,35.0,0.0,0.0,7.439869281045752,2686.7549019607845,114831
114831_2,-70.58881219780217,-33.51794934065934,160.0,30.0,0.0,0.0,4.1712454212454215,1528.6703296703297,114831
114831_3,-70.5765,-33.51888000000001,31.0,6.0,0.0,0.0,9.283333333333333,3032.0,114831
114802_0,-70.57632606741565,-33.51324696629214,125.0,23.0,1.0,1.0,2.8365168539325847,862.876404494382,114802
114802_1,-70.55136212121214,-33.517645252525256,55.0,9.0,0.0,0.0,8.557744107744105,3350.050505050505,114802
114802_2,-70.54222999999999,-33.53370789473684,10.0,2.0,0.0,0.0,14.40701754385965,6511.789473684211,114802
114802_3,-70.55815076923076,-33.52182153846154,45.0,8.0,0.0,0.0,8.333333333333332,3253.230769230769,114802
114802_4,-70.5685947169811,-33.51635971698115,66.0,12.0,0.0,0.0,4.451100628930818,1558.4433962264152,114802
114824_0,-70.59671203252033,-33.555021788617886,79.0,14.0,0.0,0.0,6.8390243902439,2634.9349593495936,114824
114824_1,-70.591376,-33.546862,195.0,38.0,0.0,0.0,5.7749999999999995,1817.7,114824
114824_2,-70.57830206106871,-33.544998244274815,247.0,47.0,0.0,0.0,5.25318066157761,1844.4122137404581,114824
114824_3,-70.59657854430381,-33.54457620253162,283.0,54.0,2.0,2.0,2.906223628691983,939.4493670886076,114824
200144_0,-70.5687186734694,-33.554846122448986,169.0,32.0,1.0,1.0,5.7421768707483,1710.0816326530612,200144
200144_1,-70.57503000000001,-33.5550275,105.0,21.0,0.0,0.0,4.483333333333333,1247.125,200144
200144_2,-70.58241404761904,-33.55696357142857,77.0,15.0,0.0,0.0,2.3369047619047616,532.2380952380952,200144
