cod_cluster,lon,lat,S1,S2,S3,S4,time_min,COD_NVO
114303_0,-70.57531474747475,-33.52855704545453,20.0,4.0,0.0,0.0,12.54654882154883,114303
114303_1,-70.60440308943087,-33.52190333333333,17.0,3.0,0.0,0.0,5.085501355013551,114303
114303_2,-70.56355541528234,-33.53780966777411,33.0,6.0,0.0,0.0,17.08947951273534,114303
114303_3,-70.60564999999998,-33.52486,20.0,4.0,0.0,0.0,7.033333333333333,114303
114831_0,-70.58033196078432,-33.51869156862745,102.0,20.0,1.0,1.0,7.461274509803921,114831
114831_1,-70.5984915384615,-33.513943974358966,10.0,2.0,0.0,0.0,6.139529914529914,114831
114831_2,-70.588973,-33.516414,181.0,36.0,0.0,0.0,4.2299999999999995,114831
114831_3,-70.58882261904758,-33.51804702380954,17.0,3.0,0.0,0.0,4.232341269841271,114831
114802_0,-70.55204663461542,-33.51779846153846,44.0,9.0,0.0,0.0,8.528205128205128,114802
114802_1,-70.5422818181818,-33.533779090909086,1.0,0.0,0.0,0.0,14.30606060606061,114802
114802_2,-70.5721476165803,-33.51490124352331,22.0,4.0,0.0,0.0,3.6862694300518117,114802
114802_3,-70.56281428571428,-33.51628571428571,78.0,16.0,0.0,0.0,5.776190476190477,114802
114824_0,-70.57841753731344,-33.54495395522389,4.0,1.0,0.0,0.0,5.261940298507464,114824
114824_1,-70.59649637795276,-33.554892992125986,6.0,1.0,0.0,0.0,6.8396325459317575,114824
114824_2,-70.59663257861637,-33.54463547169809,32.0,6.0,0.0,0.0,2.929454926624738,114824
114824_3,-70.59937499999997,-33.540915000000005,53.0,10.0,0.0,0.0,3.3916666666666666,114824
200144_0,-70.56875280000001,-33.55489000000001,8.0,2.0,0.0,0.0,5.756166666666665,200144
200144_1,-70.58246666666666,-33.556899047619055,2.0,0.0,0.0,0.0,2.3345238095238097,200144
200144_2,-70.58113931034481,-33.55222068965518,2.0,0.0,0.0,0.0,4.07787356321839,200144
200144_3,-70.5757025,-33.55566,42.0,8.0,0.0,0.0,3.525,200144
114816_0,-70.56507034482757,-33.559161379310346,1.0,0.0,0.0,0.0,4.949999999999999,114816
114816_1,-70.59279000000001,-33.56207466666666,3.0,1.0,0.0,0.0,5.6244444444444435,114816
114816_2,-70.57747220000002,-33.5614014,2.0,0.0,0.0,0.0,2.614666666666667,114816
114816_3,-70.56408,-33.559396666666665,30.0,6.0,0.0,0.0,5.316666666666666,114816
114816_4,-70.5885556521739,-33.56760217391304,1.0,0.0,0.0,0.0,5.57391304347826,114816
114805_0,-70.59521357142859,-33.56624952380953,3.0,0.0,1.0,1.0,5.128968253968255,114805
114805_1,-70.60571203252033,-33.559768292682925,153.0,31.0,0.0,0.0,1.8945799457994579,114805
114805_2,-70.60336666666667,-33.563750000000006,70.0,14.0,0.0,0.0,2.766666666666667,114805
114805_3,-70.61043803921567,-33.56562980392156,1.0,0.0,0.0,0.0,4.136601307189541,114805
114805_4,-70.60709872093025,-33.55583337209302,51.0,10.0,0.0,0.0,3.2562015503875985,114805
200051_0,-70.60651146341462,-33.54853402439025,10.0,2.0,0.0,0.0,2.0810975609756106,200051
200051_1,-70.61053962962963,-33.55201333333332,14.0,3.0,0.0,0.0,3.4,200051
200051_2,-70.60692085106382,-33.53943659574468,1.0,0.0,0.0,0.0,3.4613475177304975,200051
200051_3,-70.60427000000001,-33.538450000000005,20.0,4.0,0.0,0.0,4.416666666666667,200051
114825_0,-70.61783218750003,-33.54893208333334,0.0,0.0,0.0,0.0,4.667187500000001,114825
114825_1,-70.62754103448276,-33.548597413793104,26.0,5.0,0.0,0.0,2.4600574712643675,114825
114825_2,-70.61696658536586,-33.55411951219513,0.0,0.0,0.0,0.0,4.92662601626016,114825
114825_3,-70.62763500000001,-33.55356166666667,47.0,9.0,0.0,0.0,2.1694444444444443,114825
114825_4,-70.62593629629636,-33.55361617283949,6.0,1.0,0.0,0.0,2.02962962962963,114825
114817_0,-70.62378955223882,-33.56073388059701,1.0,0.0,1.0,1.0,3.7604477611940292,114817
114817_1,-70.61434660377358,-33.56141905660378,39.0,8.0,0.0,0.0,3.119496855345912,114817
114817_2,-70.61956285714287,-33.56015571428571,172.0,34.0,0.0,0.0,2.723809523809524,114817
114817_3,-70.61480808510639,-33.55828085106383,32.0,6.0,0.0,0.0,2.381205673758865,114817
114817_4,-70.62042833333334,-33.56388111111111,28.0,5.0,0.0,0.0,4.671296296296295,114817
114804_0,-70.60030913978493,-33.53225580645162,5.0,1.0,0.0,0.0,2.2374551971326158,114804
114804_1,-70.60638516129033,-33.533850645161294,11.0,2.0,0.0,0.0,3.106451612903226,114804
114804_2,-70.6020825,-33.5284825,43.0,9.0,0.0,0.0,3.5374999999999996,114804
114804_3,-70.59954903225807,-33.528368709677416,1.0,0.0,0.0,0.0,4.184408602150538,114804
114804_4,-70.59750944444443,-33.537580000000005,3.0,1.0,0.0,0.0,4.224999999999999,114804
114315_0,-70.62951117647059,-33.530457647058824,0.0,0.0,0.0,0.0,2.647058823529412,114315
114315_1,-70.61257466666667,-33.527586666666664,0.0,0.0,0.0,0.0,2.5599999999999996,114315
114315_2,-70.61777333333335,-33.52809,1.0,0.0,0.0,0.0,2.272222222222222,114315
114315_3,-70.62044761904761,-33.52821761904762,0.0,0.0,0.0,0.0,1.1563492063492065,114315
114806_0,-70.6279895757576,-33.538173757575755,1.0,0.0,0.0,0.0,2.7238383838383866,114806
114806_1,-70.6169052727273,-33.54401663636363,2.0,0.0,0.0,0.0,5.865454545454542,114806
114806_2,-70.61609571428572,-33.535368469387755,0.0,0.0,0.0,0.0,5.2226190476190455,114806
114806_3,-70.61674833333332,-33.540018333333336,20.0,4.0,0.0,0.0,5.558333333333334,114806
114807_0,-70.63648087719297,-33.54919210526315,1.0,0.0,0.0,0.0,4.7105263157894735,114807
114807_1,-70.64075910447761,-33.54667611940299,19.0,4.0,0.0,0.0,3.545771144278607,114807
114807_2,-70.63372666666667,-33.55026,103.0,20.0,0.0,0.0,5.533333333333334,114807
114807_3,-70.64849805555558,-33.54576055555556,12.0,2.0,0.0,0.0,2.0039351851851848,114807
114811_0,-70.61785020746886,-33.59209925311203,34.0,7.0,0.0,0.0,3.1775242047026286,114811
114811_1,-70.64099553571431,-33.58652625,4.0,1.0,0.0,0.0,7.5684523809523805,114811
114811_2,-70.63518655172416,-33.61732724137931,0.0,0.0,0.0,0.0,9.280459770114943,114811
114811_3,-70.62532999999999,-33.591475,58.0,11.0,0.0,0.0,4.891666666666667,114811
114826_0,-70.6253619148936,-33.62739765957447,2.0,0.0,0.0,0.0,2.807801418439716,114826
114826_1,-70.62420857142857,-33.62880321428572,136.0,27.0,0.0,0.0,3.5845238095238092,114826
114826_2,-70.6189709638554,-33.62987590361446,2.0,0.0,0.0,0.0,4.659236947791163,114826
114826_3,-70.62313517857145,-33.61463142857143,11.0,2.0,0.0,0.0,5.838988095238095,114826
114808_0,-70.63886100000003,-33.579919200000006,0.0,0.0,0.0,0.0,2.250333333333332,114808
114808_1,-70.6448480851064,-33.57830914893617,0.0,0.0,0.0,0.0,2.975886524822695,114808
114808_2,-70.63371153846155,-33.57962846153846,0.0,0.0,0.0,0.0,3.7666666666666675,114808
114808_3,-70.642315,-33.584137500000004,101.0,20.0,0.0,0.0,3.2416666666666667,114808
114808_4,-70.64438083333336,-33.58329416666667,36.0,7.0,0.0,0.0,4.210416666666667,114808
114809_0,-70.6535907142857,-33.57785540816328,1.0,0.0,0.0,0.0,2.621258503401361,114809
114809_1,-70.64539259259257,-33.586127037037045,1.0,0.0,0.0,0.0,5.011419753086418,114809
114809_2,-70.65713564814814,-33.58304870370369,1.0,0.0,0.0,0.0,4.465586419753085,114809
114809_3,-70.64810999999997,-33.58483999999999,8.0,2.0,0.0,0.0,3.8333333333333335,114809
114819_0,-70.65006465517244,-33.55943017241382,23.0,5.0,0.0,0.0,3.417528735632184,114819
114819_1,-70.64305285714283,-33.56311571428572,23.0,5.0,0.0,0.0,2.496258503401361,114819
114819_2,-70.64040399999999,-33.559369999999994,176.0,34.0,0.0,0.0,4.926666666666667,114819
114819_3,-70.6363905882353,-33.56099779411765,14.0,3.0,0.0,0.0,4.652696078431371,114819
114820_0,-70.60019034055728,-33.58857000000002,22.0,4.0,0.0,0.0,4.173993808049536,114820
114820_1,-70.58226525316454,-33.58910506329114,0.0,0.0,0.0,0.0,8.381540084388188,114820
114820_2,-70.59521453815266,-33.57870196787148,1.0,0.0,0.0,0.0,5.967001338688088,114820
114820_3,-70.60853999999998,-33.58830999999999,26.0,5.0,0.0,0.0,3.566666666666667,114820
114814_0,-70.64210806451614,-33.526073655913976,3.0,1.0,0.0,0.0,6.175806451612903,114814
114814_1,-70.64600812500002,-33.535918593750004,2.0,0.0,0.0,0.0,3.1531250000000006,114814
114814_2,-70.63891398373987,-33.53662861788619,4.0,1.0,0.0,0.0,2.5979674796747974,114814
114814_3,-70.63884499999999,-33.538815,5.0,1.0,0.0,0.0,2.7416666666666667,114814
114828_0,-70.63555566265057,-33.556288192771085,1.0,0.0,0.0,0.0,3.310843373493976,114828
114828_1,-70.65052347222225,-33.55217847222223,7.0,1.0,0.0,0.0,3.7104166666666663,114828
114828_2,-70.637385,-33.55418,49.0,10.0,0.0,0.0,3.2333333333333334,114828
114828_3,-70.64238200000004,-33.55329799999999,1.0,0.0,0.0,0.0,2.048627450980391,114828
114801_0,-70.58909504477612,-33.60820077611939,7.0,1.0,0.0,0.0,4.627910447761195,114801
114801_1,-70.5590161029412,-33.61389360294113,4.0,1.0,0.0,0.0,8.757475490196077,114801
114801_2,-70.55893499999999,-33.60260500000001,15.0,3.0,0.0,0.0,7.033333333333333,114801
114801_3,-70.56482857740585,-33.60084610878661,7.0,1.0,0.0,0.0,6.831659693165973,114801
114822_0,-70.55437758620688,-33.558873349753675,0.0,0.0,0.0,0.0,9.933169129720854,114822
114822_1,-70.56222676388886,-33.5863554861111,8.0,1.0,0.0,0.0,4.7099768518518506,114822
114822_2,-70.57112154589372,-33.56975668276973,4.0,1.0,0.0,0.0,7.370477724100909,114822
114822_3,-70.56493,-33.596090000000004,55.0,11.0,0.0,0.0,6.900000000000001,114822
114313_0,-70.41975197969542,-33.62779741116758,1.0,0.0,0.0,0.0,13.293231810490727,114313
114313_1,-70.35630000000002,-33.63692000000001,1.0,0.0,0.0,0.0,14.4,114313
114313_2,-70.52397294736843,-33.60984231578948,0.0,0.0,0.0,0.0,3.171052631578948,114313
114313_3,-70.11627919999994,-33.72843600000002,0.0,0.0,0.0,0.0,14.399999999999986,114313
114313_4,-70.50681056338031,-33.718205492957715,0.0,0.0,0.0,0.0,12.431220657276981,114313
114812_0,-70.55240575,-33.710274999999996,0.0,0.0,0.0,0.0,5.555000000000003,114812
114812_1,-70.58741415162457,-33.62537205776172,4.0,1.0,0.0,0.0,2.786823104693139,114812
114812_2,-70.58592456928844,-33.61984277153558,5.0,1.0,0.0,0.0,5.1078027465667875,114812
114812_3,-70.5932025,-33.6292575,21.0,4.0,0.0,0.0,3.470833333333333,114812
114821_0,-70.61193845070422,-33.62926253521128,17.0,3.0,0.0,0.0,3.4488262910798126,114821
114821_1,-70.61362548076922,-33.62056221153846,9.0,2.0,0.0,0.0,4.084294871794872,114821
