cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.58185927038626,-33.52942412017166,8.0,1.0,0.0,0.0,11.318311874105873,3736.5836909871246,114303
114303_1,-70.56355423487537,-33.53819309608545,8.0,1.0,0.0,0.0,17.11322657176751,6175.747330960854,114303
114303_2,-70.5865290909091,-33.52445090909091,6.0,1.0,0.0,0.0,10.254545454545454,3294.7272727272725,114303
114303_3,-70.56640737704919,-33.527874754098356,23.0,3.0,0.0,0.0,14.38424408014571,5083.371584699454,114303
114303_4,-70.60500646017698,-33.52168274336283,5.0,1.0,0.0,0.0,4.901032448377579,1453.212389380531,114303
114831_0,-70.57989458333333,-33.518548229166676,4.0,0.0,0.0,0.0,7.553124999999999,2716.21875,114831
114831_1,-70.58870663157893,-33.51823536842106,5.0,1.0,0.0,0.0,4.305614035087721,1584.5263157894738,114831
114831_2,-70.59539666666664,-33.518280000000004,3.0,0.0,0.0,0.0,7.888888888888888,2833.6666666666665,114831
114831_3,-70.59804787499998,-33.51383037499998,7.0,1.0,0.0,0.0,5.999374999999999,2117.425,114831
114802_0,-70.55106284313725,-33.517967647058825,10.0,1.0,0.0,0.0,8.68660130718954,3418.225490196078,114802
114802_1,-70.57695404040398,-33.513292828282836,2.0,0.0,0.0,0.0,2.7252525252525244,812.4242424242424,114802
114802_2,-70.55967,-33.518843076923076,7.0,1.0,0.0,0.0,7.239743589743591,2662.5384615384614,114802
114802_3,-70.54181411764705,-33.535896470588234,1.0,0.0,0.0,0.0,15.04705882352941,6868.941176470588,114802
114802_4,-70.5673034736842,-33.516634000000025,12.0,2.0,0.0,0.0,4.713684210526316,1675.6631578947367,114802
114824_0,-70.57830778625956,-33.54499122137405,10.0,1.0,0.0,0.0,5.266921119592877,1847.648854961832,114824
114824_1,-70.5966404320988,-33.54477006172838,9.0,1.0,0.0,0.0,2.9653292181069957,964.7222222222222,114824
114824_2,-70.59673130434783,-33.55523817391305,7.0,1.0,0.0,0.0,6.893333333333332,2665.582608695652,114824
114824_3,-70.5920107142857,-33.54822285714286,9.0,1.0,0.0,0.0,5.944047619047618,1961.142857142857,114824
200144_0,-70.58110181818179,-33.55213763636364,5.0,1.0,0.0,0.0,4.118484848484847,1100.4727272727273,200144
200144_1,-70.56878430000002,-33.554914000000004,3.0,0.0,0.0,0.0,5.734166666666666,1706.08,200144
200144_2,-70.58236204545454,-33.556844545454545,3.0,0.0,0.0,0.0,2.3715909090909086,544.6590909090909,200144
200144_3,-70.57696200000001,-33.554013999999995,3.0,0.0,0.0,0.0,4.0,1094.0,200144
114816_0,-70.57747220000002,-33.5614014,2.0,0.0,0.0,0.0,2.614666666666667,769.72,114816
114816_1,-70.58865296296295,-33.56714296296296,1.0,0.0,0.0,0.0,5.494444444444445,1839.851851851852,114816
114816_2,-70.56493064516128,-33.55918419354839,1.0,0.0,0.0,0.0,4.947849462365592,1717.032258064516,114816
114816_3,-70.593245,-33.56189124999999,3.0,0.0,0.0,0.0,5.696666666666665,2091.375,114816
114816_4,-70.57766500000002,-33.559430000000006,1.0,0.0,0.0,0.0,5.6,1711.5,114816
114805_0,-70.60582361904761,-33.56022180952382,4.0,0.0,0.0,0.0,1.822063492063492,444.3047619047619,114805
114805_1,-70.59521357142859,-33.56624952380953,2.0,0.0,0.0,0.0,5.128968253968255,1607.095238095238,114805
114805_2,-70.60675882352942,-33.555993431372535,6.0,1.0,0.0,0.0,3.0686274509803937,837.5,114805
114805_3,-70.60308750000002,-33.562290000000004,2.0,0.0,0.0,0.0,3.4333333333333336,693.25,114805
114805_4,-70.61042846153845,-33.56553384615384,2.0,0.0,0.0,0.0,4.120833333333332,1192.4807692307693,114805
200051_0,-70.61060358490566,-33.55198264150942,2.0,0.0,0.0,0.0,3.3833333333333333,1003.0188679245283,200051
200051_1,-70.60692085106382,-33.53943659574468,1.0,0.0,0.0,0.0,3.4613475177304975,1027.659574468085,200051
200051_2,-70.60687217391303,-33.54780420289855,2.0,0.0,0.0,0.0,1.9198067632850238,540.768115942029,200051
200051_3,-70.60474533333334,-33.55155933333334,2.0,0.0,0.0,0.0,3.1255555555555556,955.4666666666667,200051
114825_0,-70.61787907216497,-33.548928865979384,1.0,0.0,0.0,0.0,4.652577319587629,1527.8453608247423,114825
114825_1,-70.62593629629636,-33.55361617283949,2.0,0.0,0.0,0.0,2.02962962962963,593.1358024691358,114825
