cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.56423600000001,-33.528580000000005,16.0,3.0,0.0,0.0,16.2,5630.0,114303
114303_1,-70.58176704918034,-33.529526762295056,22.0,3.0,0.0,0.0,11.363729508196725,3756.7090163934427,114303
114303_2,-70.60501915254234,-33.5216706779661,8.0,1.0,0.0,0.0,4.935310734463276,1456.8050847457628,114303
114303_3,-70.56578023255815,-33.527570639534886,99.0,18.0,0.0,0.0,14.469670542635658,5117.360465116279,114303
114303_4,-70.56355762411341,-33.53816152482274,37.0,6.0,0.0,0.0,17.092257683215145,6169.663120567376,114303
114831_0,-70.58042225490196,-33.51870607843137,10.0,2.0,0.0,0.0,7.427941176470588,2678.676470588235,114831
114831_1,-70.59832525,-33.51390974999999,3.0,0.0,0.0,0.0,6.125208333333333,2162.4,114831
114831_2,-70.5888543333333,-33.51791433333334,5.0,1.0,0.0,0.0,4.155925925925926,1521.4444444444443,114831
114831_3,-70.580525,-33.52058500000001,3.0,0.0,0.0,0.0,8.025,3017.5,114831
114802_0,-70.57654836538455,-33.513384038461545,5.0,1.0,0.0,0.0,2.8144230769230765,850.9134615384615,114802
114802_1,-70.54168315789474,-33.534882631578945,4.0,1.0,0.0,0.0,14.856140350877196,6719.684210526316,114802
114802_2,-70.56694612903225,-33.51657688172045,53.0,9.0,0.0,0.0,4.743189964157706,1690.010752688172,114802
114802_3,-70.56245666666666,-33.51881777777778,17.0,3.0,0.0,0.0,7.187037037037038,2546.8888888888887,114802
114802_4,-70.5511498019802,-33.518003960396044,37.0,6.0,0.0,0.0,8.64141914191419,3400.0,114802
114824_0,-70.59657969135806,-33.54471987654319,9.0,1.0,0.0,0.0,2.950102880658436,956.9506172839506,114824
114824_1,-70.59649838983051,-33.55509101694915,24.0,4.0,0.0,0.0,6.875141242937851,2648.0677966101694,114824
114824_2,-70.57842313432837,-33.54494708955225,10.0,1.0,0.0,0.0,5.27537313432836,1844.6194029850747,114824
114824_3,-70.5981125,-33.550729999999994,14.0,2.0,0.0,0.0,6.277083333333334,2206.0,114824
200144_0,-70.57347166666666,-33.554188333333336,2.0,0.0,0.0,0.0,4.9222222222222225,1395.1666666666667,200144
200144_1,-70.56915411764707,-33.55574338235295,4.0,0.0,0.0,0.0,5.5169117647058865,1621.5588235294117,200144
200144_2,-70.5816022222222,-33.55225592592592,3.0,0.0,0.0,0.0,4.016666666666666,1069.2592592592594,200144
200144_3,-70.58228659090909,-33.55692227272727,2.0,0.0,0.0,0.0,2.345454545454545,532.6818181818181,200144
200144_4,-70.56804156250001,-33.55275375000001,4.0,1.0,0.0,0.0,6.234374999999999,1898.5625,200144
