cod_cluster,lon,lat,S1,S2,S3,S4,time_min,COD_NVO
114303_0,-70.60433429752065,-33.52199785123966,80.0,14.0,1.0,1.0,5.0899449035812685,114303
114303_1,-70.56348579999994,-33.537799166666694,159.0,29.0,0.0,0.0,17.086444444444457,114303
114303_2,-70.57531229591837,-33.52855211734691,172.0,32.0,0.0,0.0,12.542687074829942,114303
114303_3,-70.58867999999998,-33.526793749999996,48.0,8.0,0.0,0.0,10.795833333333333,114303
114831_0,-70.59067249999998,-33.51843000000001,38.0,6.0,0.0,0.0,8.237499999999999,114831
114831_1,-70.57993031578947,-33.51854473684211,44.0,8.0,0.0,0.0,7.534912280701753,114831
114831_2,-70.58872762886597,-33.51812948453608,52.0,9.0,0.0,0.0,4.287285223367698,114831
114831_3,-70.59826128205125,-33.513849102564095,21.0,4.0,0.0,0.0,6.06559829059829,114831
114802_0,-70.54222999999999,-33.53370789473684,8.0,1.0,0.0,0.0,14.40701754385965,114802
114802_1,-70.57233125654447,-33.514840680628275,88.0,16.0,0.0,0.0,3.643891797556718,114802
114802_2,-70.55231886792455,-33.51777679245283,67.0,12.0,0.0,0.0,8.46933962264151,114802
114802_3,-70.55438000000001,-33.522476,49.0,9.0,0.0,0.0,8.608333333333334,114802
114824_0,-70.59666130434783,-33.555210521739134,63.0,11.0,0.0,0.0,6.898405797101447,114824
114824_1,-70.59666826086959,-33.54471391304346,59.0,11.0,0.0,0.0,2.9452380952380954,114824
114824_2,-70.57861796992482,-33.5450620300752,36.0,7.0,0.0,0.0,5.241979949874689,114824
114824_3,-70.59157615384615,-33.54867,52.0,10.0,0.0,0.0,6.278205128205128,114824
200144_0,-70.5827795121951,-33.556885853658535,12.0,2.0,0.0,0.0,2.321951219512195,200144
200144_1,-70.56863520833335,-33.55481677083335,55.0,10.0,0.0,0.0,5.784027777777777,200144
200144_2,-70.58110946428569,-33.55214589285715,9.0,2.0,0.0,0.0,4.10267857142857,200144
200144_3,-70.57479090909091,-33.555936363636356,25.0,5.0,0.0,0.0,4.006060606060606,200144
114816_0,-70.58855636363634,-33.56759727272727,18.0,3.0,0.0,0.0,5.56590909090909,114816
114816_1,-70.57738877551023,-33.56139183673469,24.0,4.0,0.0,0.0,2.610544217687075,114816
114816_2,-70.59279000000001,-33.56207466666666,30.0,6.0,0.0,0.0,5.6244444444444435,114816
114816_3,-70.56493064516128,-33.55918419354839,15.0,3.0,0.0,0.0,4.947849462365592,114816
114816_4,-70.57884333333335,-33.562913333333334,22.0,4.0,0.0,0.0,4.894444444444445,114816
114805_0,-70.59521357142859,-33.56624952380953,34.0,6.0,0.0,0.0,5.128968253968255,114805
114805_1,-70.60587904761903,-33.560232285714285,93.0,17.0,0.0,0.0,1.809047619047619,114805
114805_2,-70.60336666666667,-33.563750000000006,24.0,4.0,0.0,0.0,2.766666666666667,114805
114805_3,-70.61025269230768,-33.56537346153846,74.0,14.0,0.0,0.0,4.182371794871794,114805
114805_4,-70.60674728155341,-33.55608233009708,54.0,10.0,0.0,0.0,3.0737864077669923,114805
200051_0,-70.6106605769231,-33.55195057692306,26.0,5.0,0.0,0.0,3.3862179487179485,200051
200051_1,-70.60692085106382,-33.53943659574468,16.0,3.0,0.0,0.0,3.4613475177304975,200051
200051_2,-70.60507764705883,-33.551674705882355,24.0,4.0,0.0,0.0,3.0637254901960786,200051
200051_3,-70.60686294117646,-33.547750882352936,23.0,4.0,0.0,0.0,1.9191176470588227,200051
114825_0,-70.61650313253013,-33.553816626506034,72.0,15.0,0.0,0.0,4.982329317269074,114825
114825_1,-70.62699696969698,-33.54914151515152,62.0,11.0,0.0,0.0,2.3151515151515145,114825
114825_2,-70.6260825,-33.55425970588235,32.0,6.0,0.0,0.0,2.147794117647059,114825
114825_3,-70.627044,-33.55173933333334,58.0,10.0,0.0,0.0,2.5822222222222218,114825
114825_4,-70.6179818681319,-33.548816923076934,47.0,9.0,0.0,0.0,4.626556776556777,114825
114817_0,-70.61434660377358,-33.56141905660378,34.0,6.0,0.0,0.0,3.119496855345912,114817
