cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.57529668354431,-33.52856384810124,68.0,11.0,0.0,0.0,12.54928270042195,4288.425316455696,114303
114303_1,-70.5635169899665,-33.537832474916414,53.0,9.0,0.0,0.0,17.091527313266457,6156.227424749164,114303
114303_2,-70.60451327868851,-33.52185663934426,23.0,4.0,0.0,0.0,5.0569672131147545,1495.844262295082,114303
114303_3,-70.58353199999999,-33.529426,21.0,4.0,0.0,0.0,12.126666666666665,3917.6,114303
114831_0,-70.57989458333333,-33.518548229166676,57.0,10.0,0.0,0.0,7.553124999999999,2716.21875,114831
114831_1,-70.5888246153846,-33.51826494505496,39.0,7.0,0.0,0.0,4.35842490842491,1611.5054945054944,114831
114831_2,-70.5984915384615,-33.513943974358966,15.0,2.0,0.0,0.0,6.139529914529914,2177.628205128205,114831
114831_3,-70.58797444444446,-33.51598777777778,95.0,17.0,0.0,0.0,4.127777777777777,1324.7777777777778,114831
114802_0,-70.57203717277484,-33.514930837696326,25.0,4.0,0.0,0.0,3.698342059336822,1234.9109947643979,114802
114802_1,-70.55187915887853,-33.51805056074766,24.0,4.0,0.0,0.0,8.59252336448598,3360.542056074766,114802
114802_2,-70.54168315789474,-33.534882631578945,6.0,1.0,0.0,0.0,14.856140350877196,6719.684210526316,114802
114802_3,-70.56723222222223,-33.515350000000005,40.0,7.0,0.0,0.0,5.055555555555555,1838.0,114802
114824_0,-70.57849703703704,-33.54498355555557,41.0,7.0,0.0,0.0,5.267901234567903,1842.3555555555556,114824
114824_1,-70.59655468253969,-33.554940158730155,28.0,5.0,0.0,0.0,6.845767195767194,2623.468253968254,114824
114824_2,-70.59663257861637,-33.54463547169809,57.0,10.0,0.0,0.0,2.929454926624738,949.566037735849,114824
114824_3,-70.59937499999997,-33.540915000000005,30.0,5.0,0.0,0.0,3.3916666666666666,1034.5,114824
200144_0,-70.58113931034481,-33.55222068965518,18.0,3.0,0.0,0.0,4.07787356321839,1085.2413793103449,200144
200144_1,-70.56875280000001,-33.55489000000001,26.0,4.0,0.0,0.0,5.756166666666665,1717.74,200144
200144_2,-70.58246666666666,-33.556899047619055,10.0,2.0,0.0,0.0,2.3345238095238097,529.3571428571429,200144
200144_3,-70.5757025,-33.55566,24.0,4.0,0.0,0.0,3.525,904.5,200144
114816_0,-70.56507034482757,-33.559161379310346,5.0,1.0,0.0,0.0,4.949999999999999,1713.0344827586207,114816
114816_1,-70.5885556521739,-33.56760217391304,11.0,2.0,0.0,0.0,5.57391304347826,1854.3478260869565,114816
114816_2,-70.56408,-33.559396666666665,21.0,4.0,0.0,0.0,5.316666666666666,1725.6666666666667,114816
114816_3,-70.59279000000001,-33.56207466666666,10.0,2.0,0.0,0.0,5.6244444444444435,2055.0444444444443,114816
114816_4,-70.57747220000002,-33.5614014,10.0,2.0,0.0,0.0,2.614666666666667,769.72,114816
114805_0,-70.60718056818183,-33.55592147727272,25.0,4.0,0.0,0.0,3.24412878787879,889.1022727272727,114805
114805_1,-70.59521357142859,-33.56624952380953,10.0,2.0,0.0,0.0,5.128968253968255,1607.095238095238,114805
114805_2,-70.61043479999998,-33.56572619999999,22.0,4.0,0.0,0.0,4.156666666666665,1209.94,114805
114805_3,-70.60336666666667,-33.563750000000006,32.0,6.0,0.0,0.0,2.766666666666667,659.0,114805
114805_4,-70.60567032786885,-33.55977778688525,81.0,14.0,0.0,0.0,1.891120218579235,460.1967213114754,114805
200051_0,-70.60651146341462,-33.54853402439025,29.0,5.0,0.0,0.0,2.0810975609756106,595.2073170731708,200051
200051_1,-70.61053962962963,-33.55201333333332,20.0,3.0,0.0,0.0,3.4,1012.0925925925926,200051
200051_2,-70.60427000000001,-33.538450000000005,10.0,2.0,0.0,0.0,4.416666666666667,1345.0,200051
200051_3,-70.60692085106382,-33.53943659574468,7.0,1.0,0.0,0.0,3.4613475177304975,1027.659574468085,200051
114825_0,-70.61763693181818,-33.55434863636364,12.0,2.0,0.0,0.0,4.724810606060604,1596.159090909091,114825
114825_1,-70.6266029059829,-33.55152085470085,25.0,5.0,0.0,0.0,2.0663817663817663,595.1452991452992,114825
114825_2,-70.62988187500001,-33.55068875,62.0,11.0,0.0,0.0,2.434375,641.5,114825
114825_3,-70.61788705882356,-33.54898598039216,13.0,3.0,0.0,0.0,4.663071895424837,1522.3529411764705,114825
114817_0,-70.61434660377358,-33.56141905660378,26.0,5.0,0.0,0.0,3.119496855345912,878.6603773584906,114817
114817_1,-70.62378955223882,-33.56073388059701,25.0,4.0,0.0,0.0,3.7604477611940292,1158.402985074627,114817
114817_2,-70.61490020833334,-33.558313541666664,22.0,4.0,0.0,0.0,2.3784722222222223,531.3333333333334,114817
114817_3,-70.61961833333334,-33.560206666666666,69.0,12.0,0.0,0.0,2.8027777777777776,878.1666666666666,114817
114817_4,-70.62042833333334,-33.56388111111111,17.0,3.0,0.0,0.0,4.671296296296295,1471.5555555555557,114817
114804_0,-70.59970848484849,-33.52844515151515,1.0,0.0,0.0,0.0,4.12929292929293,1179.4545454545455,114804
114804_1,-70.60621328125,-33.534028125,10.0,2.0,0.0,0.0,3.077864583333333,953.203125,114804
114804_2,-70.6002976744186,-33.53202372093025,8.0,1.0,0.0,0.0,2.1922480620155036,598.1627906976744,114804
114804_3,-70.60033399999999,-33.53059800000001,15.0,2.0,0.0,0.0,3.9233333333333333,1294.0,114804
114804_4,-70.59773736842104,-33.537401315789474,8.0,1.0,0.0,0.0,4.085526315789473,1239.2894736842106,114804
114315_0,-70.6209075,-33.530096875000005,13.0,3.0,0.0,0.0,2.1135416666666664,735.4375,114315
114315_1,-70.61184384615385,-33.52727615384615,3.0,0.0,0.0,0.0,2.566666666666666,1054.6153846153845,114315
114315_2,-70.63103916666667,-33.530856666666665,5.0,1.0,0.0,0.0,2.8125,1206.5,114315
114315_3,-70.62029944444446,-33.527015,10.0,2.0,0.0,0.0,1.1324074074074075,430.94444444444446,114315
114806_0,-70.61602247422681,-33.53538556701031,11.0,2.0,0.0,0.0,5.237972508591063,1989.2577319587629,114806
114806_1,-70.62794173652696,-33.538157365269456,27.0,5.0,0.0,0.0,2.728642714570861,888.5209580838323,114806
114806_2,-70.61514,-33.54004200000001,17.0,3.0,0.0,0.0,6.166666666666666,2240.6,114806
114806_3,-70.6169052727273,-33.54401663636363,17.0,3.0,0.0,0.0,5.865454545454542,2304.2818181818184,114806
114807_0,-70.64826591836737,-33.54474734693877,19.0,4.0,0.0,0.0,1.7687074829931968,551.9387755102041,114807
114807_1,-70.63940714285714,-33.54586551020409,18.0,4.0,0.0,0.0,3.8534013605442174,1241.7551020408164,114807
114807_2,-70.63535,-33.54432,28.0,5.0,0.0,0.0,4.25,1388.0,114807
114807_3,-70.63625203703704,-33.549497222222215,23.0,4.0,0.0,0.0,4.785802469135803,1587.0925925925926,114807
114807_4,-70.64596456521741,-33.54825195652173,12.0,3.0,0.0,0.0,2.79963768115942,807.2826086956521,114807
114811_0,-70.61786829166665,-33.59209016666667,36.0,6.0,0.0,0.0,3.1781250000000005,1017.8708333333333,114811
114811_1,-70.64099553571431,-33.58652625,6.0,1.0,0.0,0.0,7.5684523809523805,3048.410714285714,114811
114811_2,-70.63518655172416,-33.61732724137931,5.0,1.0,0.0,0.0,9.280459770114943,4987.551724137931,114811
114811_3,-70.62138999999998,-33.59241,33.0,6.0,0.0,0.0,4.272222222222222,1672.3333333333333,114811
114826_0,-70.61911230769229,-33.62987109890111,10.0,1.0,0.0,0.0,4.6390109890109885,1978.2637362637363,114826
114826_1,-70.62603944444444,-33.62940944444444,149.0,26.0,0.0,0.0,3.058333333333333,1170.7222222222222,114826
114826_2,-70.62311578947369,-33.61460596491228,9.0,2.0,0.0,0.0,5.845321637426901,2383.8245614035086,114826
114826_3,-70.62530166666666,-33.62735541666667,23.0,4.0,0.0,0.0,2.826041666666667,938.4791666666666,114826
114808_0,-70.63886100000003,-33.579919200000006,5.0,1.0,0.0,0.0,2.250333333333332,391.52,114808
114808_1,-70.6448480851064,-33.57830914893617,5.0,1.0,0.0,0.0,2.975886524822695,826.6808510638298,114808
114808_2,-70.642315,-33.584137500000004,45.0,8.0,0.0,0.0,3.2416666666666667,891.25,114808
114808_3,-70.63371153846155,-33.57962846153846,5.0,1.0,0.0,0.0,3.7666666666666675,793.3846153846154,114808
114808_4,-70.64438083333336,-33.58329416666667,22.0,4.0,0.0,0.0,4.210416666666667,1184.5,114808
114809_0,-70.65697871559632,-33.58307926605504,16.0,3.0,0.0,0.0,4.465443425076451,1429.348623853211,114809
114809_1,-70.65364070707069,-33.577865252525264,15.0,3.0,0.0,0.0,2.632828282828283,683.6565656565657,114809
114809_2,-70.64810999999997,-33.58483999999999,5.0,1.0,0.0,0.0,3.8333333333333335,1323.0,114809
114809_3,-70.64524288461537,-33.586262500000004,4.0,1.0,0.0,0.0,5.046153846153844,1827.326923076923,114809
114819_0,-70.64428819999998,-33.562859400000015,32.0,6.0,0.0,0.0,2.400666666666667,824.94,114819
114819_1,-70.63639486842105,-33.561293684210526,45.0,8.0,0.0,0.0,4.5359649122807015,1697.921052631579,114819
114819_2,-70.63690999999999,-33.560135,66.0,12.0,0.0,0.0,4.829166666666667,1791.0,114819
114819_3,-70.65010084112151,-33.55924429906543,21.0,4.0,0.0,0.0,3.532398753894081,1095.785046728972,114819
114820_0,-70.58251030120479,-33.588848795180716,58.0,9.0,0.0,0.0,8.299497991967876,3004.1746987951806,114820
114820_1,-70.59550764705885,-33.57846554621848,60.0,9.0,0.0,0.0,5.957492997198882,1911.0672268907563,114820
114820_2,-70.60853999999998,-33.58830999999999,14.0,3.0,0.0,0.0,3.566666666666667,1135.0,114820
114820_3,-70.6001235582822,-33.58852699386505,94.0,15.0,0.0,0.0,4.1799591002045,1235.840490797546,114820
114814_0,-70.64172882352942,-33.52639539215687,12.0,3.0,0.0,0.0,5.979901960784314,1922.6764705882354,114814
114814_1,-70.63886254545454,-33.5373830909091,33.0,7.0,0.0,0.0,2.4449999999999994,625.3636363636364,114814
114814_2,-70.63884499999999,-33.538815,8.0,1.0,0.0,0.0,2.7416666666666667,666.0,114814
114814_3,-70.64582014705883,-33.53565426470589,10.0,3.0,0.0,0.0,3.188235294117648,844.9117647058823,114814
114828_0,-70.63552988095236,-33.55624452380952,42.0,8.0,0.0,0.0,3.2871031746031747,1038.0714285714287,114828
114828_1,-70.65052347222225,-33.55217847222223,5.0,1.0,0.0,0.0,3.7104166666666663,1234.388888888889,114828
114828_2,-70.63761166666667,-33.554563333333334,25.0,5.0,0.0,0.0,3.163888888888889,894.6666666666666,114828
114828_3,-70.64259695121956,-33.55325670731706,15.0,4.0,0.0,0.0,2.033739837398373,578.6951219512196,114828
114801_0,-70.56463807692305,-33.60085017094018,97.0,16.0,0.0,0.0,6.897222222222226,2043.3504273504273,114801
114801_1,-70.59625522875815,-33.609290522875796,44.0,7.0,0.0,0.0,6.207298474945534,2162.725490196078,114801
114801_2,-70.55900733333337,-33.61393681481478,31.0,5.0,0.0,0.0,8.757530864197529,2764.4666666666667,114801
114801_3,-70.58282625668446,-33.60710743315508,55.0,9.0,0.0,0.0,3.3125668449197865,959.9251336898395,114801
114801_4,-70.55935666666666,-33.604423333333344,25.0,4.0,0.0,0.0,7.605555555555555,2267.6666666666665,114801
114822_0,-70.5622399029126,-33.586363772538135,268.0,43.0,1.0,1.0,4.7146324549237155,1606.9653259361996,114822
114822_1,-70.57112061290324,-33.56972027419354,118.0,18.0,0.0,0.0,7.369354838709676,2806.909677419355,114822
114822_2,-70.55437758620688,-33.558873349753675,50.0,8.0,0.0,0.0,9.933169129720854,4241.87684729064,114822
114822_3,-70.56493,-33.596090000000004,101.0,17.0,0.0,0.0,6.900000000000001,2739.0,114822
114313_0,-70.42170873626372,-33.626763681318714,30.0,6.0,0.0,0.0,13.25109890109893,5138.93956043956,114313
114313_1,-70.52395521276597,-33.60987085106383,20.0,3.0,0.0,0.0,3.1679078014184405,974.7765957446809,114313
114313_2,-70.50647720588235,-33.718655882352905,8.0,2.0,0.0,0.0,12.432598039215673,4476.588235294118,114313
114313_3,-70.11371061224483,-33.72734530612247,3.0,1.0,0.0,0.0,14.399999999999986,4468.0,114313
114313_4,-70.40987285714286,-33.65500238095237,27.0,6.0,0.0,0.0,13.16825396825397,4412.571428571428,114313
114812_0,-70.58592456928844,-33.61984277153558,45.0,7.0,0.0,0.0,5.1078027465667875,1638.0823970037454,114812
114812_1,-70.55240575,-33.710274999999996,9.0,2.0,0.0,0.0,5.555000000000003,2438.65,114812
114812_2,-70.593002,-33.629875999999996,14.0,2.0,0.0,0.0,3.5700000000000003,1270.4,114812
114812_3,-70.58739681159423,-33.62534677536231,41.0,7.0,0.0,0.0,2.7825483091787424,870.7463768115942,114812
114821_0,-70.61257614457833,-33.62901590361446,16.0,2.0,0.0,0.0,3.1281124497991972,875.6987951807229,114821
114821_1,-70.61357794392521,-33.62060897196261,10.0,2.0,0.0,0.0,4.073052959501557,1390.4859813084113,114821
114821_2,-70.600685,-33.624204999999996,9.0,1.0,0.0,0.0,6.516666666666666,2999.0,114821
114821_3,-70.60346490566037,-33.622485849056595,9.0,1.0,0.0,0.0,5.152201257861636,2276.603773584906,114821
