cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.56323732673268,-33.53762448844884,86.0,16.0,1.0,1.0,17.09218921892189,6163.366336633663,114303
114303_1,-70.60464135593219,-33.52188245762712,68.0,12.0,0.0,0.0,5.029661016949152,1495.5593220338983,114303
114303_2,-70.57550618798956,-33.528575639686686,274.0,51.0,0.0,0.0,12.505004351610097,4268.516971279373,114303
114303_3,-70.5867405882353,-33.528320588235296,83.0,15.0,0.0,0.0,10.768627450980391,3406.0588235294117,114303
114831_0,-70.58872291666667,-33.5181859375,78.0,14.0,0.0,0.0,4.296180555555556,1582.6354166666667,114831
114831_1,-70.59067249999998,-33.51843000000001,36.0,6.0,0.0,0.0,8.2375,2883.25,114831
114831_2,-70.59814632911393,-33.5138346835443,39.0,7.0,0.0,0.0,6.032278481012658,2126.46835443038,114831
114831_3,-70.57993031578948,-33.51854473684211,60.0,11.0,0.0,0.0,7.534912280701755,2712.8947368421054,114831
114802_0,-70.55154714285715,-33.51798438095238,41.0,7.0,0.0,0.0,8.58920634920635,3373.1714285714284,114802
114802_1,-70.57212865284974,-33.51488,78.0,14.0,0.0,0.0,3.672452504317789,1224.321243523316,114802
114802_2,-70.55915083333333,-33.52198666666667,30.0,5.0,0.0,0.0,8.469444444444443,3314.4166666666665,114802
114802_3,-70.541509375,-33.535005000000005,6.0,1.0,0.0,0.0,15.079166666666666,6838.25,114802
114824_0,-70.57841356060607,-33.545093787878784,83.0,15.0,1.0,1.0,5.2786616161616156,1849.8560606060605,114824
114824_1,-70.59677479338843,-33.55506305785124,64.0,12.0,0.0,0.0,6.838292011019284,2637.8677685950415,114824
114824_2,-70.59649375796178,-33.544520254777076,124.0,23.0,0.0,0.0,2.8943736730360934,936.9235668789809,114824
114824_3,-70.59303833333333,-33.54745166666667,80.0,15.0,0.0,0.0,5.638888888888889,1822.0833333333333,114824
200144_0,-70.57597875,-33.5551075,29.0,6.0,0.0,0.0,4.11875,1119.375,200144
200144_1,-70.58251906976744,-33.556841162790704,21.0,4.0,0.0,0.0,2.3445736434108526,534.6744186046511,200144
200144_2,-70.56871161616162,-33.55486131313131,55.0,10.0,0.0,0.0,5.749326599326599,1712.969696969697,200144
200144_3,-70.58128092592592,-33.55210925925926,37.0,7.0,0.0,0.0,4.098765432098766,1093.3148148148148,200144
114816_0,-70.58855636363636,-33.56759727272727,14.0,3.0,0.0,0.0,5.565909090909091,1860.0,114816
114816_1,-70.5649306451613,-33.55918419354839,15.0,3.0,0.0,0.0,4.947849462365591,1717.032258064516,114816
114816_2,-70.5928784090909,-33.56212863636364,26.0,5.0,0.0,0.0,5.636742424242424,2060.931818181818,114816
114816_3,-70.5797,-33.561808,27.0,5.0,0.0,0.0,4.62,1358.0,114816
