cod_cluster,lon,lat,S1,S2,S3,S4,time_min,COD_NVO
114303_0,-70.57511395348837,-33.528452558139506,41.0,6.0,0.0,0.0,12.573858742463402,114303
114303_1,-70.60425218181815,-33.52228409090909,22.0,4.0,0.0,0.0,5.16651515151515,114303
114303_2,-70.56340579124573,-33.53783649831654,47.0,7.0,0.0,0.0,17.11189674523009,114303
114303_3,-70.59384037037037,-33.52623851851852,29.0,5.0,0.0,0.0,8.454938271604938,114303
114831_0,-70.58881219780217,-33.51794934065934,15.0,2.0,0.0,0.0,4.1712454212454215,114831
114831_1,-70.58041764705882,-33.518717745098044,20.0,3.0,0.0,0.0,7.439869281045752,114831
114831_2,-70.59832524999999,-33.51390974999999,16.0,3.0,0.0,0.0,6.125208333333333,114831
114831_3,-70.5765,-33.51888000000001,5.0,1.0,0.0,0.0,9.283333333333333,114831
114802_0,-70.5422818181818,-33.533779090909086,2.0,0.0,0.0,0.0,14.30606060606061,114802
114802_1,-70.57219447916664,-33.51486541666666,29.0,5.0,0.0,0.0,3.6757812499999982,114802
114802_2,-70.55204663461542,-33.51779846153846,13.0,2.0,0.0,0.0,8.528205128205128,114802
114802_3,-70.56285625000001,-33.5169725,8.0,1.0,0.0,0.0,5.766666666666667,114802
114824_0,-70.57829023076924,-33.545092384615394,25.0,4.0,0.0,0.0,5.274230769230771,114824
114824_1,-70.59371541666667,-33.54704291666666,49.0,8.0,0.0,0.0,4.875694444444444,114824
114824_2,-70.59658433333337,-33.544546266666664,35.0,6.0,0.0,0.0,2.9080000000000004,114824
114824_3,-70.59670991525424,-33.555094322033895,27.0,5.0,0.0,0.0,6.842655367231637,114824
200144_0,-70.56727210526317,-33.554024210526315,16.0,3.0,0.0,0.0,6.307309941520467,200144
200144_1,-70.57145259999999,-33.555736,36.0,6.0,0.0,0.0,4.837333333333333,200144
200144_2,-70.58261043478261,-33.55667934782609,11.0,2.0,0.0,0.0,2.381884057971014,200144
200144_3,-70.5814926530612,-33.55189734693877,11.0,2.0,0.0,0.0,4.161564625850339,200144
