cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.563832368421,-33.53779111842109,171.0,30.0,0.0,0.0,17.013760964912294,6122.398026315789,114303
114303_1,-70.60431919354836,-33.521970161290305,45.0,8.0,0.0,0.0,5.1120967741935495,1514.032258064516,114303
114303_2,-70.58747499999998,-33.52963,19.0,3.0,0.0,0.0,11.908333333333335,3956.0,114303
114303_3,-70.57515723785167,-33.52848135549869,75.0,13.0,0.0,0.0,12.570375106564374,4296.317135549873,114303
114831_0,-70.57993031578947,-33.51854473684211,44.0,8.0,0.0,0.0,7.534912280701753,2712.8947368421054,114831
114831_1,-70.59847038961037,-33.513909999999996,9.0,1.0,0.0,0.0,6.102380952380951,2167.5584415584417,114831
114831_2,-70.58872311111108,-33.5182428888889,29.0,5.0,0.0,0.0,4.349629629629631,1605.9444444444443,114831
114831_3,-70.58886249999999,-33.51663166666667,81.0,14.0,0.0,0.0,5.048611111111111,1668.3333333333333,114831
114802_0,-70.55187915887853,-33.51805056074766,36.0,6.0,0.0,0.0,8.59252336448598,3360.542056074766,114802
114802_1,-70.57207041666663,-33.51492010416666,42.0,8.0,0.0,0.0,3.690451388888887,1231.9375,114802
114802_2,-70.56583375,-33.515660000000004,41.0,7.0,0.0,0.0,5.414583333333334,1984.75,114802
114802_3,-70.54168315789474,-33.534882631578945,14.0,2.0,0.0,0.0,14.856140350877196,6719.684210526316,114802
114824_0,-70.5966664814815,-33.5447434567901,68.0,12.0,0.0,0.0,2.962654320987655,961.858024691358,114824
114824_1,-70.57857419117647,-33.54501441176472,49.0,9.0,0.0,0.0,5.273774509803923,1843.2426470588234,114824
114824_2,-70.59656975409838,-33.55509737704919,57.0,10.0,0.0,0.0,6.904371584699452,2653.72131147541,114824
114824_3,-70.59937499999997,-33.540915000000005,23.0,4.0,0.0,0.0,3.3916666666666666,1034.5,114824
200144_0,-70.56872918367348,-33.55485551020409,52.0,9.0,0.0,0.0,5.74778911564626,1716.7448979591836,200144
200144_1,-70.58113931034481,-33.55222068965518,8.0,2.0,0.0,0.0,4.07787356321839,1085.2413793103449,200144
200144_2,-70.57403428571429,-33.55611285714286,23.0,4.0,0.0,0.0,4.280952380952381,1160.7142857142858,200144
200144_3,-70.58263390243901,-33.55689682926829,5.0,1.0,0.0,0.0,2.3052845528455284,518.5121951219512,200144
114816_0,-70.56493064516128,-33.55918419354839,20.0,4.0,0.0,0.0,4.947849462365592,1717.032258064516,114816
114816_1,-70.59279000000001,-33.56207466666666,16.0,3.0,0.0,0.0,5.6244444444444435,2055.0444444444443,114816
114816_2,-70.57748500000004,-33.563435,18.0,3.0,0.0,0.0,5.933333333333334,1678.5,114816
114816_3,-70.58855636363634,-33.56759727272727,13.0,2.0,0.0,0.0,5.56590909090909,1860.0,114816
114816_4,-70.57747220000002,-33.5614014,21.0,4.0,0.0,0.0,2.614666666666667,769.72,114816
114805_0,-70.59521357142859,-33.56624952380953,13.0,2.0,0.0,0.0,5.128968253968255,1607.095238095238,114805
114805_1,-70.60655220183489,-33.556298990825674,78.0,14.0,0.0,0.0,3.116513761467891,833.4128440366973,114805
114805_2,-70.60603445544552,-33.560172178217826,58.0,10.0,0.0,0.0,1.7475247524752482,431.1188118811881,114805
114805_3,-70.61043479999998,-33.56572619999999,22.0,4.0,0.0,0.0,4.156666666666665,1209.94,114805
114805_4,-70.60336666666667,-33.563750000000006,29.0,5.0,0.0,0.0,2.766666666666667,659.0,114805
200051_0,-70.60692085106382,-33.53943659574468,8.0,1.0,0.0,0.0,3.4613475177304975,1027.659574468085,200051
200051_1,-70.60651146341462,-33.54853402439025,31.0,6.0,0.0,0.0,2.0810975609756106,595.2073170731708,200051
200051_2,-70.61053962962963,-33.55201333333332,23.0,4.0,0.0,0.0,3.4,1012.0925925925926,200051
200051_3,-70.60427000000001,-33.538450000000005,8.0,1.0,0.0,0.0,4.416666666666667,1345.0,200051
114825_0,-70.61702228915662,-33.55413759036146,20.0,4.0,0.0,0.0,4.908032128514054,1649.313253012048,114825
114825_1,-70.61783218750003,-33.54893208333334,32.0,7.0,0.0,0.0,4.667187500000001,1533.3645833333333,114825
114825_2,-70.62611750000003,-33.55360763157894,45.0,8.0,0.0,0.0,1.968859649122807,573.1973684210526,114825
114825_3,-70.62721499999999,-33.548528269230765,52.0,9.0,0.0,0.0,2.453525641025641,712.3653846153846,114825
114825_4,-70.62764562500001,-33.55185375000001,86.0,15.0,0.0,0.0,2.4687500000000004,683.5,114825
114817_0,-70.62378955223882,-33.56073388059701,25.0,5.0,0.0,0.0,3.7604477611940292,1158.402985074627,114817
114817_1,-70.61468782608696,-33.55828434782608,30.0,5.0,0.0,0.0,2.3894927536231885,530.2608695652174,114817
114817_2,-70.61434660377358,-33.56141905660378,39.0,7.0,0.0,0.0,3.119496855345912,878.6603773584906,114817
114817_3,-70.61966000000001,-33.55990125,65.0,11.0,0.0,0.0,2.6333333333333333,797.625,114817
114817_4,-70.62042833333334,-33.56388111111111,14.0,3.0,0.0,0.0,4.671296296296295,1471.5555555555557,114817
114804_0,-70.60033399999999,-33.53059800000001,18.0,3.0,0.0,0.0,3.9233333333333333,1294.0,114804
114804_1,-70.59805289473682,-33.53762210526316,12.0,2.0,0.0,0.0,4.082894736842105,1235.7368421052631,114804
114804_2,-70.60703903846152,-33.533283076923084,25.0,4.0,0.0,0.0,3.1958333333333333,1017.6538461538462,114804
114804_3,-70.5995334375,-33.5284390625,11.0,2.0,0.0,0.0,4.154166666666667,1183.96875,114804
114804_4,-70.6005105050505,-33.53253909090911,25.0,4.0,0.0,0.0,2.2501683501683494,613.1212121212121,114804
114315_0,-70.62403785714285,-33.53024357142858,16.0,3.0,0.0,0.0,2.0523809523809526,770.7142857142857,114315
114315_1,-70.612025,-33.529945000000005,4.0,1.0,0.0,0.0,3.2527777777777778,1198.0,114315
114315_2,-70.630937,-33.531121999999996,7.0,1.0,0.0,0.0,2.9333333333333327,1232.4,114315
114315_3,-70.61881,-33.527012222222226,9.0,2.0,0.0,0.0,1.1555555555555557,413.6666666666667,114315
114315_4,-70.62339285714287,-33.52820142857143,2.0,0.0,0.0,0.0,1.05,394.7142857142857,114315
114315_5,-70.61348153846153,-33.52598999999999,6.0,1.0,0.0,0.0,1.9987179487179485,840.3076923076923,114315
114806_0,-70.61611084210526,-33.535234,27.0,5.0,0.0,0.0,5.2149122807017525,1984.1684210526316,114806
114806_1,-70.61682313559324,-33.54378855932203,51.0,10.0,0.0,0.0,5.870621468926553,2293.2457627118642,114806
114806_2,-70.62798557575762,-33.538164787878785,40.0,8.0,0.0,0.0,2.713333333333336,882.4363636363636,114806
114806_3,-70.62244999999999,-33.535250000000005,7.0,1.0,0.0,0.0,3.95,1314.0,114806
114807_0,-70.64596456521741,-33.54825195652173,12.0,3.0,0.0,0.0,2.79963768115942,807.2826086956521,114807
114807_1,-70.64826591836737,-33.54474734693877,17.0,4.0,0.0,0.0,1.7687074829931968,551.9387755102041,114807
114807_2,-70.63372666666667,-33.55026,32.0,5.0,0.0,0.0,5.533333333333334,1922.0,114807
114807_3,-70.63638038461538,-33.54935365384615,31.0,6.0,0.0,0.0,4.732371794871796,1563.9423076923076,114807
114807_4,-70.63940714285714,-33.54586551020409,25.0,5.0,0.0,0.0,3.8534013605442174,1241.7551020408164,114807
114811_0,-70.61785020746886,-33.59209925311203,39.0,7.0,0.0,0.0,3.1775242047026286,1018.8298755186722,114811
114811_1,-70.63518655172416,-33.61732724137931,8.0,1.0,0.0,0.0,9.280459770114943,4987.551724137931,114811
114811_2,-70.62532999999999,-33.591475,21.0,4.0,0.0,0.0,4.891666666666667,1884.0,114811
114811_3,-70.64099553571431,-33.58652625,8.0,1.0,0.0,0.0,7.5684523809523805,3048.410714285714,114811
114826_0,-70.62603944444444,-33.62940944444444,75.0,13.0,0.0,0.0,3.058333333333333,1170.7222222222222,114826
114826_1,-70.61911230769229,-33.62987109890111,21.0,3.0,0.0,0.0,4.6390109890109885,1978.2637362637363,114826
114826_2,-70.62311578947369,-33.61460596491228,8.0,1.0,0.0,0.0,5.845321637426901,2383.8245614035086,114826
114826_3,-70.62530166666666,-33.62735541666667,14.0,2.0,0.0,0.0,2.826041666666667,938.4791666666666,114826
114808_0,-70.63886100000003,-33.579919200000006,11.0,2.0,0.0,0.0,2.250333333333332,391.52,114808
114808_1,-70.64438083333336,-33.58329416666667,16.0,3.0,0.0,0.0,4.210416666666667,1184.5,114808
114808_2,-70.63371153846155,-33.57962846153846,10.0,2.0,0.0,0.0,3.7666666666666675,793.3846153846154,114808
114808_3,-70.642315,-33.584137500000004,38.0,6.0,0.0,0.0,3.2416666666666667,891.25,114808
114808_4,-70.6448480851064,-33.57830914893617,10.0,2.0,0.0,0.0,2.975886524822695,826.6808510638298,114808
114809_0,-70.645369245283,-33.58625358490567,2.0,0.0,0.0,0.0,5.030817610062891,1814.1698113207547,114809
114809_1,-70.654348172043,-33.58088612903226,4.0,1.0,0.0,0.0,3.290860215053764,932.8602150537635,114809
114809_2,-70.65271274509806,-33.57653117647058,18.0,3.0,0.0,0.0,2.39281045751634,544.3137254901961,114809
114809_3,-70.64810999999997,-33.58483999999999,2.0,0.0,0.0,0.0,3.8333333333333335,1323.0,114809
114809_4,-70.65914984126988,-33.58338111111111,3.0,1.0,0.0,0.0,5.001058201058199,1711.6666666666667,114809
114819_0,-70.63952220588234,-33.56369397058825,41.0,7.0,0.0,0.0,2.7911764705882356,1108.514705882353,114819
114819_1,-70.64040399999999,-33.559369999999994,50.0,10.0,0.0,0.0,4.926666666666667,1812.6,114819
114819_2,-70.63641344262297,-33.5607275409836,41.0,7.0,0.0,0.0,4.744262295081966,1751.639344262295,114819
114819_3,-70.650451827957,-33.56139204301077,41.0,7.0,0.0,0.0,2.740681003584229,827.9354838709677,114819
114819_4,-70.64834150000002,-33.55803433333333,30.0,5.0,0.0,0.0,3.722777777777779,1127.65,114819
114820_0,-70.59009586872583,-33.58376196911195,31.0,5.0,0.0,0.0,5.908687258687258,1923.4980694980695,114820
114820_1,-70.60265597938148,-33.57546072164949,40.0,7.0,0.0,0.0,6.1609965635738835,1982.0,114820
114820_2,-70.60177523437497,-33.58897148437501,80.0,13.0,0.0,0.0,4.002864583333334,1166.84375,114820
114820_3,-70.60208235294118,-33.58466,42.0,7.0,0.0,0.0,3.6401960784313725,945.6470588235294,114820
114820_4,-70.57935323529408,-33.58962598039217,21.0,3.0,0.0,0.0,9.286764705882353,3454.098039215686,114820
114814_0,-70.64612483333333,-33.53540816666666,11.0,3.0,0.0,0.0,3.273333333333334,885.0333333333333,114814
114814_1,-70.63793326923074,-33.531249038461546,104.0,20.0,0.0,0.0,3.8875000000000006,1151.5961538461538,114814
114814_2,-70.63962219780218,-33.53867934065935,36.0,8.0,0.0,0.0,2.2170329670329663,521.6483516483516,114814
114814_3,-70.64331453124998,-33.52659203124999,22.0,5.0,0.0,0.0,6.098958333333334,1960.546875,114814
114814_4,-70.64046066666668,-33.522362666666666,57.0,11.0,0.0,0.0,7.370000000000001,2517.266666666667,114814
114828_0,-70.64313770270273,-33.55340054054052,21.0,5.0,0.0,0.0,2.022747747747748,581.0675675675676,114828
114828_1,-70.6505183098592,-33.552172394366195,10.0,2.0,0.0,0.0,3.709154929577464,1235.9577464788733,114828
114828_2,-70.638341875,-33.55311625000001,43.0,8.0,0.0,0.0,2.6354166666666665,725.8125,114828
114828_3,-70.63552240963854,-33.55626602409638,31.0,6.0,0.0,0.0,3.2989959839357437,1042.5301204819277,114828
114801_0,-70.56470318965513,-33.60073556034484,54.0,9.0,0.0,0.0,6.902514367816094,2048.030172413793,114801
114801_1,-70.59622967532466,-33.609266623376605,17.0,3.0,0.0,0.0,6.197943722943723,2160.87012987013,114801
114801_2,-70.55947999999998,-33.60569000000001,19.0,3.0,0.0,0.0,7.591666666666667,2312.5,114801
114801_3,-70.55947147887328,-33.613673732394325,86.0,14.0,0.0,0.0,8.611150234741782,2701.992957746479,114801
114801_4,-70.58291489010983,-33.607106923076934,39.0,7.0,0.0,0.0,3.2657509157509153,946.8571428571429,114801
114822_0,-70.57128627257802,-33.569647980295564,163.0,27.0,1.0,1.0,7.377230432402847,2821.6354679802957,114822
114822_1,-70.56604725308644,-33.59269987654313,86.0,14.0,0.0,0.0,5.993672839506184,2109.6203703703704,114822
114822_2,-70.5544457286432,-33.558638743718575,65.0,10.0,0.0,0.0,10.00644891122278,4277.603015075377,114822
114822_3,-70.56493,-33.596090000000004,39.0,6.0,0.0,0.0,6.900000000000001,2739.0,114822
114822_4,-70.55912876213593,-33.580889927184494,178.0,29.0,0.0,0.0,3.7832928802589043,1230.2694174757282,114822
114313_0,-70.41832335106382,-33.628129787234094,69.0,13.0,0.0,0.0,13.29671985815606,5086.537234042553,114313
114313_1,-70.11627919999994,-33.72843600000002,9.0,2.0,0.0,0.0,14.399999999999986,4468.0,114313
114313_2,-70.52397294736843,-33.60984231578948,26.0,5.0,0.0,0.0,3.171052631578948,973.6421052631579,114313
114313_3,-70.46659875000002,-33.656523125,56.0,11.0,0.0,0.0,12.986458333333337,4985.5625,114313
114313_4,-70.50647107692306,-33.71865892307689,29.0,6.0,0.0,0.0,12.43410256410255,4476.707692307692,114313
114812_0,-70.58592456928844,-33.61984277153558,65.0,11.0,0.0,0.0,5.1078027465667875,1638.0823970037454,114812
114812_1,-70.55178885714285,-33.70973514285715,23.0,5.0,0.0,0.0,5.694285714285717,2515.285714285714,114812
114812_2,-70.58739681159423,-33.62534677536231,52.0,9.0,0.0,0.0,2.7825483091787424,870.7463768115942,114812
114812_3,-70.57486300000001,-33.67196499999999,43.0,8.0,0.0,0.0,4.075,1586.3,114812
114821_0,-70.61193695652175,-33.629325942029,14.0,2.0,0.0,0.0,3.4429951690821263,985.5507246376811,114821
114821_1,-70.61362933962262,-33.62057698113207,6.0,1.0,0.0,0.0,4.079716981132075,1391.6037735849056,114821
114821_2,-70.60346490566037,-33.622485849056595,21.0,3.0,0.0,0.0,5.152201257861636,2276.603773584906,114821
114821_3,-70.600685,-33.624204999999996,15.0,3.0,0.0,0.0,6.516666666666666,2999.0,114821
114821_4,-70.61521999999998,-33.62725533333334,28.0,5.0,0.0,0.0,1.6955555555555553,396.8,114821
