cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.5693,-33.5344,15.0,3.0,0.0,0.0,16.783333333333335,5637.0,114303
114303_1,-70.60465040983605,-33.521857049180326,3.0,0.0,0.0,0.0,5.043169398907104,1490.5819672131147,114303
114303_2,-70.57511918316831,-33.528573613861354,13.0,1.0,0.0,0.0,12.602392739273935,4307.933168316832,114303
114303_3,-70.563644880546,-33.537983515358405,168.0,30.0,0.0,0.0,17.080944254835053,6154.235494880546,114303
114831_0,-70.59832525,-33.51390974999999,3.0,0.0,0.0,0.0,6.125208333333333,2162.4,114831
114831_1,-70.58041764705882,-33.518717745098044,22.0,3.0,0.0,0.0,7.439869281045752,2686.7549019607845,114831
114831_2,-70.5765,-33.51888000000001,10.0,2.0,0.0,0.0,9.283333333333333,3032.0,114831
114831_3,-70.58881219780217,-33.51794934065934,8.0,1.0,0.0,0.0,4.1712454212454215,1528.6703296703297,114831
114802_0,-70.55165542056076,-33.51799775700934,5.0,1.0,0.0,0.0,8.59252336448598,3364.07476635514,114802
114802_1,-70.57462876712327,-33.51361643835617,31.0,5.0,0.0,0.0,2.81986301369863,858.082191780822,114802
114802_2,-70.570395511811,-33.515760551181096,6.0,1.0,0.0,0.0,4.299475065616795,1491.275590551181,114802
114802_3,-70.5413072222222,-33.53483,2.0,0.0,0.0,0.0,15.053703703703702,6808.555555555556,114802
114802_4,-70.54845,-33.53582999999999,3.0,0.0,0.0,0.0,11.3,5120.0,114802
114824_0,-70.57884137404581,-33.544930076335895,12.0,1.0,0.0,0.0,5.203562340966924,1819.503816793893,114824
114824_1,-70.59655468253969,-33.554940158730155,5.0,1.0,0.0,0.0,6.845767195767194,2623.468253968254,114824
114824_2,-70.59670245283021,-33.54463484276728,6.0,1.0,0.0,0.0,2.925052410901468,945.6415094339623,114824
114824_3,-70.57608666666665,-33.54481166666667,11.0,2.0,0.0,0.0,6.163888888888889,2176.0,114824
200144_0,-70.56863520833335,-33.55481677083335,43.0,8.0,0.0,0.0,5.784027777777777,1727.03125,200144
200144_1,-70.58255238095238,-33.55691071428572,3.0,0.0,0.0,0.0,2.3158730158730156,521.3095238095239,200144
200144_2,-70.58113931034481,-33.55222068965517,2.0,0.0,0.0,0.0,4.07787356321839,1085.2413793103449,200144
200144_3,-70.57318875,-33.5560925,15.0,2.0,0.0,0.0,4.404166666666667,1241.875,200144
114816_0,-70.56493064516128,-33.55918419354839,9.0,2.0,0.0,0.0,4.947849462365592,1717.032258064516,114816
114816_1,-70.59279,-33.56207466666666,2.0,0.0,0.0,0.0,5.6244444444444435,2055.0444444444443,114816
114816_2,-70.57738877551023,-33.56139183673469,16.0,3.0,0.0,0.0,2.610544217687075,769.9183673469388,114816
114816_3,-70.58855636363634,-33.56759727272727,15.0,3.0,0.0,0.0,5.56590909090909,1860.0,114816
114816_4,-70.57884333333335,-33.562913333333334,19.0,3.0,0.0,0.0,4.894444444444445,1372.3333333333333,114816
114805_0,-70.60547029761905,-33.558512202380946,13.0,2.0,0.0,0.0,2.2745039682539687,590.827380952381,114805
114805_1,-70.59521357142859,-33.56624952380953,2.0,0.0,0.0,0.0,5.128968253968255,1607.095238095238,114805
114805_2,-70.60933869565216,-33.55731369565218,19.0,3.0,0.0,0.0,3.2112318840579706,824.4347826086956,114805
114805_3,-70.61034530612244,-33.5658175510204,5.0,1.0,0.0,0.0,4.132653061224489,1217.8775510204082,114805
200051_0,-70.60692085106382,-33.53943659574468,1.0,0.0,0.0,0.0,3.4613475177304975,1027.659574468085,200051
200051_1,-70.61083949999998,-33.55152749999999,3.0,0.0,0.0,0.0,3.3554166666666654,990.325,200051
200051_2,-70.60650275,-33.548529625,5.0,1.0,0.0,0.0,2.083958333333334,597.25,200051
200051_3,-70.6090323529412,-33.551970000000004,7.0,1.0,0.0,0.0,3.396078431372549,1024.235294117647,200051
114825_0,-70.62665086956522,-33.55154139130434,41.0,7.0,0.0,0.0,2.0556521739130433,591.6173913043478,114825
114825_1,-70.61759707865168,-33.55431696629214,5.0,1.0,0.0,0.0,4.745692883895129,1598.438202247191,114825
114825_2,-70.62921111111112,-33.550650000000005,66.0,11.0,0.0,0.0,2.462037037037037,658.8888888888889,114825
114825_3,-70.61792465346538,-33.54896079207922,4.0,1.0,0.0,0.0,4.644059405940594,1519.6138613861385,114825
114817_0,-70.62378955223882,-33.56073388059701,5.0,1.0,0.0,0.0,3.7604477611940292,1158.402985074627,114817
114817_1,-70.61396085714286,-33.559783714285714,16.0,3.0,0.0,0.0,3.085714285714285,751.5428571428571,114817
114817_2,-70.62087777777778,-33.564,3.0,0.0,0.0,0.0,4.694444444444443,1518.1666666666667,114817
114817_3,-70.61507888888887,-33.56183555555556,8.0,1.0,0.0,0.0,2.9615740740740732,891.8611111111111,114817
114817_4,-70.61538138888888,-33.558190277777776,8.0,1.0,0.0,0.0,2.257870370370371,502.55555555555554,114817
114804_0,-70.59954777777779,-33.53414111111111,1.0,0.0,0.0,0.0,3.914814814814815,1216.0,114804
114804_1,-70.59956424242426,-33.52838363636363,0.0,0.0,0.0,0.0,4.141919191919192,1178.5151515151515,114804
114804_2,-70.59914549019607,-33.5373211764706,1.0,0.0,0.0,0.0,3.6385620915032675,1092.549019607843,114804
114804_3,-70.60696115384614,-33.53306250000001,0.0,0.0,0.0,0.0,3.1657051282051283,1010.1346153846154,114804
114804_4,-70.60036259259259,-33.531829753086434,1.0,0.0,0.0,0.0,2.1549382716049377,578.395061728395,114804
114315_0,-70.61729071428572,-33.52943357142858,9.0,1.0,0.0,0.0,1.9785714285714284,698.1428571428571,114315
114315_1,-70.62066764705882,-33.52709058823529,6.0,1.0,0.0,0.0,1.0911764705882354,412.3529411764706,114315
114315_2,-70.61159363636364,-33.52717,0.0,0.0,0.0,0.0,2.6727272727272724,1098.1818181818182,114315
114315_3,-70.62972941176471,-33.5306594117647,10.0,2.0,0.0,0.0,2.686274509803922,1108.7058823529412,114315
114806_0,-70.62934814814811,-33.536896790123464,38.0,7.0,0.0,0.0,2.634567901234568,800.8765432098766,114806
114806_1,-70.6165782727273,-33.54389427272727,6.0,1.0,0.0,0.0,5.904848484848483,2321.581818181818,114806
114806_2,-70.61533321839082,-33.53537586206896,7.0,1.0,0.0,0.0,5.371455938697316,2050.2758620689656,114806
114806_3,-70.6259498019802,-33.5391288118812,4.0,1.0,0.0,0.0,3.064851485148516,1063.3267326732673,114806
114807_0,-70.6403409210526,-33.546836710526314,1.0,0.0,0.0,0.0,3.6320175438596487,1146.842105263158,114807
114807_1,-70.63535,-33.54432,2.0,0.0,0.0,0.0,4.25,1388.0,114807
114807_2,-70.64849232876713,-33.54579438356165,1.0,0.0,0.0,0.0,2.022374429223744,602.7945205479452,114807
