cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.56349618181812,-33.538303527272774,72.0,13.0,0.0,0.0,17.192000000000014,6193.672727272728,114303
114303_1,-70.60510669642856,-33.521559732142855,37.0,7.0,0.0,0.0,4.881845238095236,1444.732142857143,114303
114303_2,-70.58203783549781,-33.529547965367954,108.0,20.0,0.0,0.0,11.31507936507937,3736.974025974026,114303
114303_3,-70.5874225,-33.53018350000001,58.0,10.0,0.0,0.0,10.698333333333332,3423.85,114303
114303_4,-70.56540688524589,-33.52749103825136,18.0,3.0,0.0,0.0,14.440437158469935,5136.245901639344,114303
114831_0,-70.58872228070176,-33.516537368421055,35.0,6.0,0.0,0.0,3.5646198830409364,1187.0877192982457,114831
114831_1,-70.59831935064935,-33.51385363636363,32.0,6.0,0.0,0.0,6.093073593073592,2155.8311688311687,114831
114831_2,-70.58763311475411,-33.52045032786885,38.0,6.0,0.0,0.0,5.9,2311.44262295082,114831
114831_3,-70.57841853333336,-33.51794666666667,21.0,4.0,0.0,0.0,7.711111111111109,2733.826666666667,114831
114831_4,-70.59306499999997,-33.517857500000005,21.0,3.0,0.0,0.0,6.791666666666666,2371.0,114831
114802_0,-70.55219000000004,-33.517814571428566,21.0,4.0,0.0,0.0,8.513015873015872,3311.1809523809525,114802
114802_1,-70.57216734374998,-33.51488411458333,25.0,4.0,0.0,0.0,3.6723958333333315,1225.4322916666667,114802
114802_2,-70.5422818181818,-33.533779090909086,10.0,1.0,0.0,0.0,14.30606060606061,6453.909090909091,114802
114802_3,-70.56299428571428,-33.516099999999994,22.0,4.0,0.0,0.0,5.692857142857143,2102.714285714286,114802
114824_0,-70.5784255725191,-33.54495374045803,101.0,19.0,0.0,0.0,5.248218829516541,1842.1526717557251,114824
114824_1,-70.59667777070068,-33.54460184713374,76.0,14.0,0.0,0.0,2.8974522292993634,935.4331210191083,114824
114824_2,-70.59671935483873,-33.55496959677419,32.0,6.0,0.0,0.0,6.833198924731181,2629.6774193548385,114824
114824_3,-70.588096,-33.546645,68.0,13.0,0.0,0.0,5.656666666666666,1806.0,114824
200144_0,-70.58218288888888,-33.55684711111111,33.0,6.0,0.0,0.0,2.424074074074074,560.6666666666666,200144
200144_1,-70.5687285858586,-33.55489333333334,25.0,5.0,0.0,0.0,5.744276094276094,1710.5353535353536,200144
200144_2,-70.58110181818179,-33.55213763636363,60.0,11.0,0.0,0.0,4.118484848484847,1100.4727272727273,200144
200144_3,-70.57696200000001,-33.554013999999995,27.0,5.0,0.0,0.0,4.0,1094.0,200144
114816_0,-70.59281488888888,-33.5622,19.0,4.0,0.0,0.0,5.622962962962962,2055.288888888889,114816
114816_1,-70.5649775,-33.5591834375,8.0,1.0,0.0,0.0,4.984375000000002,1714.21875,114816
114816_2,-70.58848909090908,-33.567705,3.0,1.0,0.0,0.0,5.599242424242423,1856.5,114816
114816_3,-70.57747220000002,-33.5614014,17.0,3.0,0.0,0.0,2.614666666666667,769.72,114816
114816_4,-70.58889999999998,-33.55970000000001,6.0,1.0,0.0,0.0,5.083333333333333,1796.0,114816
114805_0,-70.60571975609756,-33.559775772357725,59.0,10.0,0.0,0.0,1.8971544715447155,462.5528455284553,114805
114805_1,-70.59521357142859,-33.56624952380953,13.0,2.0,0.0,0.0,5.128968253968255,1607.095238095238,114805
114805_2,-70.61043479999998,-33.56572619999999,26.0,5.0,0.0,0.0,4.156666666666665,1209.94,114805
114805_3,-70.60712804597702,-33.555879999999995,24.0,4.0,0.0,0.0,3.2511494252873585,890.7011494252873,114805
114805_4,-70.60336666666667,-33.563750000000006,19.0,3.0,0.0,0.0,2.766666666666667,659.0,114805
