cod_cluster,lon,lat,S1,S2,S3,S4,time_min,distance,COD_NVO
114303_0,-70.56320333333325,-33.53788185567014,55.0,9.0,1.0,1.0,17.150057273768624,6185.529209621993,114303
114303_1,-70.57484351706037,-33.528316062992104,138.0,24.0,0.0,0.0,12.619991251093627,4314.992125984252,114303
114303_2,-70.60447801652892,-33.52182818181818,59.0,10.0,0.0,0.0,5.060743801652893,1497.0247933884298,114303
114303_3,-70.5832225925926,-33.53445037037037,98.0,19.0,0.0,0.0,12.09814814814815,4048.3333333333335,114303
114303_4,-70.60564999999998,-33.52486,22.0,4.0,0.0,0.0,7.033333333333333,2275.0,114303
114831_0,-70.57989458333333,-33.518548229166676,111.0,21.0,1.0,1.0,7.553124999999999,2716.21875,114831
114831_1,-70.588973,-33.516414,177.0,34.0,0.0,0.0,4.2299999999999995,1403.5,114831
114831_2,-70.58872311111108,-33.5182428888889,88.0,16.0,0.0,0.0,4.349629629629631,1605.9444444444443,114831
114831_3,-70.59849153846153,-33.513943974358966,33.0,6.0,0.0,0.0,6.139529914529914,2177.628205128205,114831
114802_0,-70.5721476165803,-33.51490124352331,54.0,9.0,0.0,0.0,3.6862694300518117,1230.720207253886,114802
114802_1,-70.5422818181818,-33.533779090909086,3.0,0.0,0.0,0.0,14.30606060606061,6453.909090909091,114802
114802_2,-70.56281428571428,-33.51628571428571,80.0,17.0,0.0,0.0,5.776190476190477,2125.8571428571427,114802
114802_3,-70.55204663461542,-33.51779846153846,55.0,10.0,0.0,0.0,8.528205128205128,3319.8653846153848,114802
114824_0,-70.5783805263158,-33.545045413533856,131.0,24.0,1.0,1.0,5.277067669172935,1846.1278195488721,114824
114824_1,-70.59671203252034,-33.555021788617886,43.0,7.0,0.0,0.0,6.8390243902439,2634.9349593495936,114824
114824_2,-70.5965311320755,-33.54457402515722,197.0,37.0,0.0,0.0,2.922222222222222,945.6981132075472,114824
114824_3,-70.59395428571428,-33.54687428571429,121.0,23.0,0.0,0.0,5.516666666666667,1761.0,114824
200144_0,-70.58252658536584,-33.5569543902439,26.0,5.0,0.0,0.0,2.3353658536585367,531.3414634146342,200144
200144_1,-70.5810594915254,-33.55230915254237,75.0,14.0,0.0,0.0,4.029378531073446,1068.1186440677966,200144
200144_2,-70.57507166666667,-33.55435833333333,64.0,12.0,0.0,0.0,4.211111111111111,1177.5,200144
200144_3,-70.568686122449,-33.554925306122456,12.0,2.0,0.0,0.0,5.770748299319727,1721.4285714285713,200144
114816_0,-70.59313902439025,-33.56183780487803,22.0,4.0,0.0,0.0,5.68170731707317,2084.170731707317,114816
114816_1,-70.57747220000002,-33.5614014,9.0,1.0,0.0,0.0,2.614666666666667,769.72,114816
114816_2,-70.56408000000002,-33.559396666666665,30.0,6.0,0.0,0.0,5.316666666666666,1725.6666666666667,114816
114816_3,-70.58865296296295,-33.56714296296296,5.0,1.0,0.0,0.0,5.494444444444445,1839.851851851852,114816
114816_4,-70.56507034482757,-33.559161379310346,3.0,0.0,0.0,0.0,4.949999999999999,1713.0344827586207,114816
114805_0,-70.60709872093025,-33.55583337209302,82.0,15.0,1.0,1.0,3.2562015503875985,892.3255813953489,114805
114805_1,-70.60336666666667,-33.563750000000006,81.0,16.0,0.0,0.0,2.766666666666667,659.0,114805
114805_2,-70.60571203252033,-33.559768292682925,195.0,37.0,0.0,0.0,1.8945799457994579,462.0731707317073,114805
114805_3,-70.61043803921567,-33.56562980392156,35.0,6.0,0.0,0.0,4.136601307189541,1202.0980392156862,114805
114805_4,-70.59521357142859,-33.56624952380953,15.0,3.0,0.0,0.0,5.128968253968255,1607.095238095238,114805
200051_0,-70.60692085106382,-33.53943659574468,8.0,1.0,0.0,0.0,3.4613475177304975,1027.659574468085,200051
200051_1,-70.61053962962963,-33.55201333333332,36.0,7.0,0.0,0.0,3.4,1012.0925925925926,200051
200051_2,-70.60427000000001,-33.538450000000005,21.0,4.0,0.0,0.0,4.416666666666667,1345.0,200051
200051_3,-70.60651146341463,-33.54853402439025,28.0,5.0,0.0,0.0,2.0810975609756106,595.2073170731708,200051
114825_0,-70.62599062500001,-33.55359112499998,18.0,3.0,0.0,0.0,2.0127083333333338,585.8375,114825
114825_1,-70.61707074074073,-33.55420654320989,42.0,8.0,0.0,0.0,4.8897119341563755,1650.358024691358,114825
114825_2,-70.62749466666668,-33.54861983333333,48.0,9.0,0.0,0.0,2.454444444444444,702.85,114825
114825_3,-70.62709000000001,-33.554298,66.0,12.0,0.0,0.0,2.336666666666667,700.6,114825
114825_4,-70.61773268041242,-33.54898463917527,38.0,7.0,0.0,0.0,4.702061855670103,1540.3917525773195,114825
114817_0,-70.61434660377358,-33.56141905660378,64.0,12.0,1.0,1.0,3.119496855345912,878.6603773584906,114817
114817_1,-70.62378955223882,-33.56073388059701,39.0,7.0,0.0,0.0,3.7604477611940292,1158.402985074627,114817
114817_2,-70.61956285714287,-33.56015571428571,176.0,35.0,0.0,0.0,2.723809523809524,843.0,114817
114817_3,-70.61480808510639,-33.55828085106383,59.0,11.0,0.0,0.0,2.381205673758865,529.1914893617021,114817
114817_4,-70.62042833333334,-33.56388111111111,36.0,7.0,0.0,0.0,4.671296296296295,1471.5555555555557,114817
114804_0,-70.60626390625,-33.53392546875,41.0,7.0,0.0,0.0,3.087239583333333,958.78125,114804
114804_1,-70.59750944444443,-33.537580000000005,32.0,6.0,0.0,0.0,4.224999999999999,1285.5277777777778,114804
114804_2,-70.60026087912088,-33.53216813186814,34.0,6.0,0.0,0.0,2.2318681318681315,612.945054945055,114804
114804_3,-70.6020825,-33.5284825,44.0,9.0,0.0,0.0,3.5374999999999996,1124.75,114804
114804_4,-70.59954903225807,-33.528368709677416,16.0,3.0,0.0,0.0,4.184408602150538,1194.0,114804
114315_0,-70.630005,-33.5307425,4.0,1.0,0.0,0.0,2.7145833333333336,1121.625,114315
114315_1,-70.61790533333333,-33.529771333333336,1.0,0.0,0.0,0.0,2.06,758.0,114315
114315_2,-70.6199938888889,-33.52688388888889,1.0,0.0,0.0,0.0,1.1453703703703704,427.6111111111111,114315
114315_3,-70.61178,-33.527033,8.0,1.0,0.0,0.0,2.6366666666666663,1069.9,114315
114806_0,-70.62798957575758,-33.538173757575755,26.0,4.0,0.0,0.0,2.7238383838383866,884.3151515151516,114806
114806_1,-70.6169052727273,-33.54401663636363,34.0,6.0,0.0,0.0,5.865454545454542,2304.2818181818184,114806
